timestamps,TP9,AF7,AF8,TP10,Right AUX
1786901612.424,213.867,-217.285,-495.605,11.230,0.000
1786901612.428,363.281,-215.332,-512.207,-264.160,0.000
1786901612.432,-164.551,-159.180,-470.703,-14.648,0.000
1786901612.435,-427.246,-158.691,-501.953,285.645,0.000
1786901612.439,28.809,-298.340,-582.031,105.469,0.000
1786901612.443,351.562,-172.852,-484.375,-281.738,0.000
1786901612.447,-47.852,21.484,-377.930,-189.941,0.000
1786901612.451,0.000,-115.234,-450.684,230.469,0.000
1786901612.455,0.000,-118.164,-468.750,191.895,0.000
1786901612.459,0.000,-32.715,-376.465,-211.426,0.000
1786901612.463,0.000,-83.984,-388.184,-247.070,0.000
1786901612.467,0.000,-196.289,-470.703,168.457,0.000
1786901612.471,0.000,-248.047,-530.273,298.828,0.000
1786901612.475,0.000,-149.902,-479.492,-92.285,0.000
1786901612.479,0.000,-62.500,-420.898,-290.527,0.000
1786901612.482,0.000,-269.043,-568.359,83.984,0.000
1786901612.486,0.000,-278.809,-599.609,320.801,0.000
1786901612.490,0.000,-4.395,-398.926,-3.418,0.000
1786901612.494,0.000,-85.938,-497.559,-255.859,0.000
1786901612.498,-129.883,-296.387,-612.793,9.766,0.000
1786901612.502,-468.262,-186.035,-516.602,307.129,0.000
1786901612.506,-45.898,2.930,-437.012,101.562,0.000
1786901612.510,397.461,-109.863,-547.852,-234.863,0.000
1786901612.514,27.832,-196.777,-593.750,-134.277,0.000
1786901612.518,-466.797,-169.922,-529.297,230.957,0.000
1786901612.522,-199.219,-123.047,-509.277,222.168,0.000
1786901612.525,349.609,-135.254,-574.219,-128.418,0.000
1786901612.529,178.223,-280.273,-611.328,-179.199,0.000
1786901612.533,-430.664,-119.629,-468.262,134.766,0.000
1786901612.537,-355.957,83.008,-371.582,252.930,0.000
1786901612.541,244.141,-89.355,-495.605,-44.922,0.000
1786901612.545,298.340,-154.297,-549.805,-251.465,0.000
1786901612.549,-256.836,-69.336,-422.852,21.973,0.000
1786901612.553,-409.668,-75.684,-401.855,297.852,0.000
1786901612.557,110.840,-187.012,-518.066,84.473,0.000
1786901612.561,379.883,-187.988,-552.246,-207.031,0.000
1786901612.565,-77.148,-154.297,-490.234,-21.484,0.000
